the_geom,PHYSICALID,L_LOW_HN,L_HIGH_HN,R_LOW_HN,R_HIGH_HN,L_ZIP,R_ZIP,STATUS,BIKE_LANE,TRAFDIR,RW_TYPE,PRE_TYPE,POST_TYPE,OBJECTID,FCC,Left side Block Face ID,Right Side Block Face ID,Average Travel Time,Roadway Jurisdiction,NOMINALDIR,ACCESSIBLE,NONPED,Borough Code,Borough Indicator,Segloc Status,San District Inc,Left Side Subset,Right Side Subset,Continuous Parity Flag,Twisted Parity Flag,Posted Speed,Segment Length,Street Width,Street Width IRR,Special Disaster,Fire Lane,CREATED_DATE,MODIFIED_DATE,WITHIN_BNDY_DIST,TRUCK ROUTE TYPE,Collection Method,FROM_LEVEL_CODE,TO_LEVEL_CODE,B5SC,Snow Priority,JOINID,BPHYS_ID,Cartography Display Level,Number Travel Lanes,Number Park Lanes,Number Total Lane,Pre-Modifier,Pre-Directional,Post Directional,Post Modifier,Full Street Name,BIKE TRAFFIC DIRECTION,SHAPE__Length,GlobalID,SEGMENT_TYPE,SEGMENT_TYPE_VALUE,STREET NAME,Street Name Label
"MULTILINESTRING ((-73.965287415722 40.615000858808, -73.964359884699 40.615102135719))",46.81,901,999,900,998,11230,11230,2,,FT,1,AVE,,42.563,,1.822.608.708,1.822.600.714,,,,,,3,,X,,6E,6E,,N,25.0,"260,14424805",34.0,,,,2007 Nov 29 12:00:00 AM,2020 Aug 28 08:49:50 PM,,,,13,13,314280,C,,,,2.0,2.0,4.0,,,,,AVE N,,"104,31497003951",cedc2dde-7e8b-4427-af4c-c7fe5174b2c7,,,N,AVE N
"MULTILINESTRING ((-73.857805049963 40.863044490364, -73.857734247232 40.865485912644))",86.757,2501,2599,2500,2598,10469,10469,2,,TW,1,,AVE,78.537,,1.522.607.532,1.522.608.941,,,,,,2,,,,2C,2C,,N,25.0,"889,72053612",32.0,,,,2007 Nov 29 12:00:00 AM,2024 Apr 10 01:15:28 PM,,,,13,13,240620,S,,,,2.0,2.0,4.0,,,,,HONE AVE,,"359,45658741154",9c163e85-23ad-418a-a54c-40c8eef802e5,,,HONE,HONE AVE
"MULTILINESTRING ((-73.901047993134 40.769320483382, -73.902742096389 40.767935194633))",84.282,22-001,22-099,22-000,22-098,11105,11105,2,,TF,1,,ST,76.298,,102.261.264,102.265.239,,,,,,4,,,,2E,2E,,N,25.0,"689,15359844",32.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 09:30:01 AM,,,F,13,13,410640,S,,,,1.0,2.0,3.0,,,,,48 ST,,"277,53323334463",fdccf94f-201f-4312-a96d-0c26d0fa7cfd,,,48,48 ST
"MULTILINESTRING ((-74.010562603546 40.7222098984, -74.011631470957 40.72231827029))",79.741,79,107,78,100,10013,10013,2,,FT,1,,ST,72.173,,1.222.605.034,1.222.601.248,,,,,,1,,,,3B,3B,,N,25.0,"298,89669877",34.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 10:04:49 AM,,,,13,13,124400,S,,,,1.0,2.0,3.0,,,,,LAIGHT ST,,"120,04580684369",bcbbb800-b963-45bf-804e-42f5ada6c207,,,LAIGHT,LAIGHT ST
"MULTILINESTRING ((-74.121613808175 40.558468264066, -74.121533964787 40.558385459768, -74.121461513545 40.558298791091, -74.121396774845 40.558208641291), (-74.121396774845 40.558208641291, -74.121340035984 40.558115409021, -74.121291546832 40.558019506627, -74.121251521819 40.557921358196))",184.2,0,0,74,86,10306,10306,2,,TW,1,,AVE,115.877,,1.722.613.316,1.722.609.883,,,,,,5,,,,1D,1D,,N,25.0,"415,1482875",25.0,,,,2007 Nov 29 12:00:00 AM,2025 Oct 24 02:30:55 PM,,,,13,13,520590,H,,,,2.0,1.0,3.0,,,,,BROOK AVE,,"90,28879629663",d7f8c5d8-637b-4122-950f-faf2206c8561,,,BROOK,BROOK AVE
"MULTILINESTRING ((-73.98221749207 40.768968674845, -73.983207911402 40.769387631401, -73.984316210058 40.769856434903))",191.409,2,98,1,99,10023,10023,2,,FT,1,,ST,118.754,,1.222.600.676,1.222.606.129,,,,,,1,,,,1A,1A,,N,25.0,"665,24891335",50.0,,,,2007 Nov 29 12:00:00 AM,2021 Apr 06 07:50:19 AM,,,,13,13,134970,C,,,,2.0,2.0,4.0,,W,,,W  60 ST,,"267,59953539586",27fcb089-c93b-41fa-bd6e-9700b811cb13,,,60,W 60 ST
"MULTILINESTRING ((-73.886578049747 40.862470601588, -73.887510359142 40.863158701639), (-73.887510359142 40.863158701639, -73.887622332192 40.863175069674, -73.887734856069 40.86318909251, -73.887847845573 40.863200759529), (-73.887847845573 40.863200759529, -73.887961214998 40.863210061832, -73.888074878655 40.86321699245, -73.888188750481 40.863221546137))",170.796,,,,,10458,10458,2,,NV,6,,PATH,110.562,,1.522.610.431,1.522.601.577,,,,,,2,,H,,,,,N,,"359,65734871",12.0,,,,2015 Dec 15 11:04:01 AM,2015 Dec 22 12:00:00 AM,,,,13,13,200476,,,,,1.0,0.0,1.0,,,,,FORDHAM UNIVERSITY PATH,,"221,18328870153",fd57d250-48c4-4cb1-ad58-067ebfa185b6,,,FORDHAM UNIVERSITY,FORDHAM UNIVERSITY PATH
"MULTILINESTRING ((-73.745632289534 40.703875995602, -73.745025168896 40.70252654448))",31.38,113-001,113-099,113-000,113-098,11429,11429,2,,TW,1,,ST,28.373,,72.264.340,72.268.057,,,,,,4,,,,4C,4C,,N,25.0,"519,66495671",30.0,,,,2007 Nov 29 12:00:00 AM,2024 Apr 10 01:15:28 PM,,,,13,13,426340,S,,,,2.0,2.0,4.0,,,,,210 ST,,"209,36259325125",7505f297-28f8-4deb-90ed-623321c7ce58,,,210,210 ST
"MULTILINESTRING ((-73.807299636673 40.742002029035, -73.806356512929 40.742058970803))",10.217,161-001,161-099,161-000,161-098,11365,11365,2,,TW,1,,AVE,9.109,,82.262.164,82.261.112,,,,,,4,,X,,2E,2E,,N,25.0,"262,16720346",40.0,,,,2007 Nov 29 12:00:00 AM,2020 Aug 28 08:49:50 PM,,,,13,13,436400,C,,,,2.0,1.0,3.0,,,,,BOOTH MEMORIAL AVE,,"105,32086982231",d0e23276-a779-4fff-b47c-c345f4ea4c36,,,BOOTH MEMORIAL,BOOTH MEMORIAL AVE
"MULTILINESTRING ((-73.754133474341 40.608115396585, -73.755165930404 40.608317264715))",16.336,22-001,22-025,22-000,22-026,11691,11691,2,,TW,1,,AVE,14.57,,12.262.996,12.263.118,,,,,,4,,,,3D,3D,,N,25.0,"295,95813661",24.0,,,,2007 Nov 29 12:00:00 AM,2024 Apr 10 01:15:28 PM,,,,13,13,456590,S,,,,2.0,2.0,4.0,,,,,NAMEOKE AVE,,"118,68298302584",2504359f-bc51-4eab-b943-d5342ccbad45,,,NAMEOKE,NAMEOKE AVE
"MULTILINESTRING ((-73.998631564462 40.713515002424, -73.998586201891 40.713483166557, -73.998532832291 40.713446717045))",182.38,,,,,10013,10038,2,,TW,1,,ST,115.166,,212.260.458,212.261.643,,,,,,1,,,,1A,1A,,N,25.0,"114,46785198",54.0,,,,2007 Nov 29 12:00:00 AM,2023 Apr 10 02:00:14 PM,,2.0,,13,13,145490,H,,,,3.0,0.0,3.0,,,,,WORTH ST,,"14,87888148222",18dd96e5-622a-4b45-af76-501bb116dabf,,,WORTH,WORTH ST
"MULTILINESTRING ((-73.83683093061 40.742910313486, -73.836893725769 40.742917304528, -73.836991880251 40.742960710081, -73.837095599873 40.74302903982))",90.547,,,,,11367,11367,2,,FT,9,,ST,81.943,,92.262.819,92.266.842,,,,,V,4,,,,,,,N,,"95,05907184",18.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 09:44:40 AM,,,,13,13,465617,V,,,,1.0,0.0,1.0,,,,,UNNAMED ST,,"35,017357505",d5cda3f7-39ed-4627-8fb1-fcd5a86a1c10,,,UNNAMED,UNNAMED ST
"MULTILINESTRING ((-74.153897566384 40.58715759725, -74.154682285917 40.587601249749))",55.421,530,546,531,549,10314,10314,2,,TW,1,,AVE,50.463,,1.722.604.728,1.722.600.695,,,,,,5,,,,4C,4C,,N,25.0,"271,34839942",38.0,,,,2007 Nov 29 12:00:00 AM,2024 Apr 10 01:15:28 PM,,,,13,13,535070,S,,,,2.0,2.0,4.0,,,,,KLONDIKE AVE,,"108,90427285919",e53da82c-8831-4fed-b571-5bb3ab699337,,,KLONDIKE,KLONDIKE AVE
"MULTILINESTRING ((-73.898598300837 40.655836398593, -73.898480331597 40.655854058731))",75.207,,,,,11207,11207,2,,TW,1,,AVE,68.392,,2.022.613.918,2.022.613.182,,,,,,3,,,,4C,4C,,N,25.0,"21,10624455",40.0,,,,2007 Nov 29 12:00:00 AM,2020 Aug 28 08:49:50 PM,,,,13,13,331730,S,,,,4.0,0.0,4.0,,,,,DE WITT AVE,,"13,38551186176",9a53ba87-5f14-4fe2-8fad-752fe5a29531,,,DE WITT,DE WITT AVE
"MULTILINESTRING ((-73.849127575158 40.834767182083, -73.848702112887 40.835111452284))",55.984,2271,2273,2276,2278,10462,10462,2,,TW,1,,AVE,50.962,,1.422.607.194,1.422.600.589,,,,,,2,,X,,1E,1E,,N,25.0,"172,02904766",70.0,,,,2009 Jun 16 12:00:00 AM,2020 Aug 28 08:49:50 PM,,2.0,,13,13,276950,C,,,,4.0,2.0,6.0,,,,,WESTCHESTER AVE,,"69,34639376424",d9ce8d94-ebc2-47b7-bf57-fad3416d9bb9,,,WESTCHESTER,WESTCHESTER AVE
